sim_t,pos,vel,state,cmd_exact,cmd_lo,cmd_hi
402.149000,0.030000,-0.000000,unrailed,0.030000,,
402.150000,0.030000,0.000000,unrailed,0.030000,,
402.151000,0.030000,-0.000000,unrailed,0.030000,,
402.152000,0.030000,0.000000,unrailed,0.030000,,
402.153000,0.030000,-0.000000,unrailed,0.030000,,
402.154000,0.030000,0.000000,unrailed,0.030000,,
402.155000,0.030000,-0.000000,unrailed,0.030000,,
402.156000,0.030000,0.000000,unrailed,0.030000,,
402.157000,0.030000,-0.000000,unrailed,0.030000,,
402.158000,0.030000,0.000000,unrailed,0.030000,,
402.159000,0.030000,-0.000000,unrailed,0.030000,,
402.160000,0.030000,0.000000,unrailed,0.030000,,
402.161000,0.030000,-0.000000,unrailed,0.030000,,
402.162000,0.030000,0.000000,unrailed,0.030000,,
402.163000,0.030000,-0.000000,unrailed,0.030000,,
402.164000,0.030000,0.000000,unrailed,0.030000,,
402.165000,0.030000,-0.000000,unrailed,0.030000,,
402.166000,0.030000,0.000000,unrailed,0.030000,,
402.167000,0.030000,-0.000000,unrailed,0.030000,,
402.168000,0.030000,0.000000,unrailed,0.030000,,
402.169000,0.030000,-0.000000,unrailed,0.030000,,
402.170000,0.030000,0.000000,unrailed,0.030000,,
402.171000,0.030000,-0.000000,unrailed,0.030000,,
402.172000,0.030000,0.000000,unrailed,0.030000,,
402.173000,0.030000,-0.000000,unrailed,0.030000,,
402.174000,0.030000,0.000000,unrailed,0.030000,,
402.175000,0.030000,-0.000000,unrailed,0.030000,,
402.176000,0.030000,0.000000,unrailed,0.030000,,
402.177000,0.030000,-0.000000,unrailed,0.030000,,
402.178000,0.030000,0.000000,unrailed,0.030000,,
402.179000,0.030000,-0.000000,unrailed,0.030000,,
402.180000,0.030000,0.000000,unrailed,0.030000,,
402.181000,0.030000,-0.000000,unrailed,0.030000,,
402.182000,0.030000,0.000000,unrailed,0.030000,,
402.183000,0.030000,-0.000000,unrailed,0.030000,,
402.184000,0.030000,0.000000,unrailed,0.030000,,
402.185000,0.030000,-0.000000,unrailed,0.030000,,
402.186000,0.030000,0.000000,unrailed,0.030000,,
402.187000,0.030000,-0.000000,unrailed,0.030000,,
402.188000,0.030000,0.000000,unrailed,0.030000,,
402.189000,0.030000,-0.000000,unrailed,0.030000,,
402.190000,0.030000,0.000000,unrailed,0.030000,,
402.191000,0.030000,-0.000000,unrailed,0.030000,,
402.192000,0.030000,0.000000,unrailed,0.030000,,
402.193000,0.030000,-0.000000,unrailed,0.030000,,
402.194000,0.030000,0.000000,unrailed,0.030000,,
402.195000,0.030000,-0.000000,unrailed,0.030000,,
402.196000,0.030000,0.000000,unrailed,0.030000,,
402.197000,0.030000,-0.000000,unrailed,0.030000,,
402.198000,0.030000,0.000000,unrailed,0.030000,,
402.199000,0.030000,-0.000000,unrailed,0.030000,,
402.200000,0.030000,0.000000,unrailed,0.030000,,
402.201000,0.030000,-0.000000,unrailed,0.030000,,
402.202000,0.030000,0.000000,unrailed,0.030000,,
402.203000,0.030000,-0.000000,unrailed,0.030000,,
402.204000,0.030000,0.000000,unrailed,0.030000,,
402.205000,0.030000,-0.000000,unrailed,0.030000,,
402.206000,0.030000,0.000000,unrailed,0.030000,,
402.207000,0.030000,-0.000000,unrailed,0.030000,,
402.208000,0.030000,0.000000,unrailed,0.030000,,
402.209000,0.030000,-0.000000,unrailed,0.030000,,
402.210000,0.030000,0.000000,unrailed,0.030000,,
402.211000,0.030000,-0.000000,unrailed,0.030000,,
402.212000,0.030000,0.000000,unrailed,0.030000,,
402.213000,0.030000,-0.000000,unrailed,0.030000,,
402.214000,0.030000,0.000000,unrailed,0.030000,,
402.215000,0.030000,-0.000000,unrailed,0.030000,,
402.216000,0.030000,0.000000,unrailed,0.030000,,
402.217000,0.030000,-0.000000,unrailed,0.030000,,
402.218000,0.030000,0.000000,unrailed,0.030000,,
402.219000,0.030000,-0.000000,unrailed,0.030000,,
402.220000,0.030000,0.000000,unrailed,0.030000,,
402.221000,0.030000,-0.000000,unrailed,0.030000,,
402.222000,0.030000,0.000000,unrailed,0.030000,,
402.223000,0.030000,-0.000000,unrailed,0.030000,,
402.224000,0.030000,0.000000,unrailed,0.030000,,
402.225000,0.030000,-0.000000,unrailed,0.030000,,
402.226000,0.030000,0.000000,unrailed,0.030000,,
402.227000,0.030000,-0.000000,unrailed,0.030000,,
402.228000,0.030000,0.000000,unrailed,0.030000,,
402.229000,0.030000,-0.000000,unrailed,0.030000,,
402.230000,0.030000,0.000000,unrailed,0.030000,,
402.231000,0.030000,-0.000000,unrailed,0.030000,,
402.232000,0.030000,0.000000,unrailed,0.030000,,
402.233000,0.030000,-0.000000,unrailed,0.030000,,
402.234000,0.030000,0.000000,unrailed,0.030000,,
402.235000,0.030000,-0.000000,unrailed,0.030000,,
402.236000,0.030000,0.000000,unrailed,0.030000,,
402.237000,0.030000,-0.000000,unrailed,0.030000,,
402.238000,0.030000,0.000000,unrailed,0.030000,,
